"id","type","id_jo","id_country"
1134,"none",21,140
1135,"none",21,140
1136,"none",21,
1137,"Silver",0,174
1138,"none",20,174
1139,"none",23,174
1140,"none",21,
1141,"none",0,
1142,"none",24,
1143,"none",24,
1144,"none",24,
1145,"none",22,143
1146,"none",22,143
1147,"none",3,
1148,"none",3,
1149,"none",3,
1150,"none",4,60
1151,"none",4,60
1152,"none",4,60
1153,"none",10,60
1154,"none",10,60
1155,"none",10,60
1156,"none",8,90
1157,"none",8,90
1158,"none",17,174
1159,"none",2,174
1160,"none",3,174
1161,"none",12,174
1162,"none",1,174
1163,"none",0,87
1164,"none",20,108
1165,"none",1,159
1166,"none",25,35
1167,"none",25,35
1168,"none",25,35
1169,"none",25,35
1170,"none",25,35
1171,"none",25,35
1172,"none",25,35
1173,"none",25,35
1174,"none",19,35
1175,"none",19,35
1176,"none",19,35
1177,"none",19,35
1178,"none",19,35
1179,"none",19,35
1180,"none",19,35
1181,"none",19,35
1182,"none",20,238
1183,"none",23,234
1184,"none",23,234
1185,"none",1,186
1186,"none",1,186
1187,"none",1,186
1188,"none",13,186
1189,"none",13,186
1190,"none",13,186
1191,"none",0,13
1192,"none",23,234
1193,"none",1,238
1194,"none",13,238
1195,"none",7,206
1196,"none",23,225
1197,"none",24,225
1198,"none",7,13
1199,"none",7,13
1200,"none",18,67
1201,"none",8,238
1202,"none",8,238
1203,"none",20,41
1204,"none",21,190
1205,"none",13,13
1206,"none",14,13
1207,"none",12,13
1208,"none",12,13
1209,"none",1,13
1210,"none",1,181
1211,"none",13,87
1212,"none",23,13
1213,"Silver",24,234
1214,"Silver",18,234
1215,"none",21,234
1216,"none",21,176
1217,"Gold",1,234
1218,"Gold",13,234
1219,"none",0,57
1220,"none",13,13
1221,"none",18,13
1222,"none",21,13
1223,"none",21,13
1224,"none",0,13
1225,"none",0,13
1226,"none",8,13
1227,"none",8,13
1228,"Bronze",13,238
1229,"none",22,41
1230,"Bronze",9,234
1231,"none",19,
1232,"none",20,
1233,"none",0,238
1234,"none",14,157
1235,"Gold",12,157
1236,"Gold",1,157
1237,"Silver",13,157
1238,"none",14,164
1239,"none",12,87
1240,"Gold",1,87
1241,"Silver",22,174
1242,"none",24,215
1243,"none",24,215
1244,"none",18,114
1245,"none",21,114
1246,"none",8,238
1247,"none",22,215
1248,"none",22,215
1249,"none",7,88
1250,"none",21,160
1251,"none",24,174
1252,"none",0,209
1253,"none",21,172
1254,"none",21,205
1255,"none",8,205
1256,"none",13,227
1257,"none",1,234
1258,"none",13,234
1259,"none",14,13
1260,"none",13,234
