"id","type","id_jo","id_event","id_athlete"
227301,"none",27,83,113549
227302,"none",35,83,113549
227303,"none",36,278,113549
227304,"none",36,83,113549
227305,"none",28,278,113549
227306,"none",0,278,113549
227307,"none",1,191,113550
227308,"none",21,82,113551
227309,"none",45,58,113552
227310,"none",48,39,113552
227311,"none",48,58,113552
227312,"none",48,59,113552
227313,"none",49,58,113552
227314,"none",49,59,113552
227315,"none",16,42,113553
227316,"Silver",9,42,113553
227317,"Bronze",15,302,113554
227318,"Gold",34,97,113555
227319,"none",9,142,113556
227320,"none",16,20,113557
227321,"Silver",16,21,113557
227322,"none",16,22,113557
227323,"none",16,23,113557
227324,"Bronze",16,24,113557
227325,"Gold",16,25,113557
227326,"none",16,26,113557
227327,"none",16,27,113557
227328,"Bronze",9,20,113557
227329,"Silver",9,21,113557
227330,"none",9,22,113557
227331,"none",9,23,113557
227332,"Bronze",9,24,113557
227333,"Silver",9,25,113557
227334,"none",9,26,113557
227335,"none",9,27,113557
227336,"Gold",12,82,113558
227337,"Gold",11,82,113558
227338,"Gold",21,82,113558
227339,"none",29,100,113559
227340,"none",9,296,113560
227341,"Bronze",9,297,113560
227342,"none",32,296,113560
227343,"none",32,297,113560
227344,"none",33,296,113560
227345,"none",33,297,113560
227346,"none",20,303,113561
227347,"none",1,68,113562
227348,"none",14,118,113563
227349,"Bronze",14,49,113563
227350,"none",21,97,113564
227351,"Silver",19,97,113564
227352,"none",31,300,113565
227353,"none",37,67,113566
227354,"none",26,67,113566
227355,"Gold",25,229,113567
227356,"none",0,234,113568
227357,"none",0,438,113568
227358,"none",15,13,113569
227359,"none",11,256,113570
227360,"none",21,16,113571
227361,"none",19,16,113571
227362,"none",1,16,113571
227363,"none",11,430,113572
227364,"none",21,430,113572
227365,"none",20,511,113573
227366,"Bronze",16,42,113574
227367,"none",4,264,113575
227368,"none",4,464,113575
227369,"none",4,568,113575
227370,"none",27,2,113576
227371,"none",29,106,113577
227372,"none",29,14,113577
227373,"none",20,163,113578
