"id","id_country","nb_athlete","id_jo"
1342,123,6,0
1343,151,4,0
1344,224,5,0
1345,45,5,3
1346,231,8,0
1347,110,4,3
1348,126,6,0
1349,182,10,0
1350,133,4,0
1351,54,2,0
1352,103,1,3
1353,24,1,3
1354,132,13,0
1355,154,2,0
1356,172,1,3
1357,155,21,4
1358,238,148,4
1359,79,61,4
1360,164,87,4
1361,115,59,4
1362,237,8,4
1363,86,5,4
1364,181,113,4
1365,35,17,4
1366,87,112,4
1367,216,59,4
1368,60,63,4
1369,80,98,4
1370,178,21,4
1371,113,104,4
1372,64,4,4
1373,215,84,4
1374,11,2,4
1375,73,26,4
1376,176,5,4
1377,90,9,4
1378,209,13,4
1379,180,23,4
1380,105,5,4
1381,124,27,4
1382,14,80,4
1383,41,95,4
1384,28,10,4
1385,202,42,4
1386,232,37,4
1387,118,29,4
1388,13,25,4
1389,146,1,4
1390,10,10,4
1391,234,32,4
1392,104,16,4
1393,145,5,4
1394,21,5,4
1395,174,28,4
1396,240,7,4
1397,129,10,4
1398,0,2,4
1399,46,24,4
1400,157,7,4
1401,192,3,4
1402,20,33,4
1403,203,22,4
1404,130,6,4
1405,5,6,4
1406,59,1,4
1407,179,2,4
1408,131,1,4
1409,196,1,4
1410,225,2,4
1411,4,2,4
1412,45,3,4
1413,175,1,4
1414,206,2,4
1415,31,1,4
1416,56,3,4
1417,24,1,4
1418,78,1,4
1419,122,1,4
1420,112,1,4
1421,114,4,4
1422,143,1,4
1423,227,1,4
1424,79,76,8
1425,155,239,8
1426,164,97,8
1427,73,43,8
1428,227,53,8
1429,209,289,8
1430,113,340,8
1431,166,24,8
1432,41,303,8
1433,69,29,8
1434,128,5,8
1435,177,12,8
1436,52,4,8
1437,44,4,8
1438,134,35,8
1439,34,1,8
1440,233,4,8
1441,15,23,8
1442,240,71,8
1443,115,306,8
1444,40,15,8
1445,3,45,8
1446,61,11,8
1447,88,35,8
1448,238,648,8
1449,106,49,8
1450,86,34,8
1451,203,37,8
1452,175,107,8
1453,80,299,8
1454,242,39,8
1455,211,1,8
1456,118,96,8
1457,143,98,8
1458,149,34,8
1459,231,10,8
1460,87,466,8
1461,212,4,8
1462,90,121,8
1463,13,417,8
1464,205,4,8
1465,160,65,8
1466,213,7,8
1467,75,18,8
1468,217,7,8
1469,176,69,8
1470,31,221,8
1471,104,213,8
1472,232,231,8
1473,181,390,8
1474,56,84,8
1475,66,6,8
1476,100,7,8
1477,226,51,8
1478,23,5,8
1479,57,164,8
1480,158,26,8
1481,119,52,8
1482,234,300,8
1483,109,3,8
1484,10,179,8
1485,140,4,8
1486,206,84,8
1487,20,157,8
1488,169,11,8
1489,222,5,8
1490,64,119,8
1491,121,25,8
1492,195,29,8
1493,17,5,8
1494,165,4,8
1495,246,4,8
1496,117,5,8
1497,18,4,8
1498,215,177,8
1499,67,16,8
1500,130,61,8
1501,122,33,8
1502,112,25,8
1503,105,9,8
1504,65,5,8
1505,179,40,8
1506,110,78,8
1507,225,12,8
1508,98,3,8
1509,180,165,8
1510,199,14,8
1511,63,14,8
1512,192,7,8
1513,135,6,8
1514,123,5,8
1515,178,303,8
1516,46,294,8
1517,204,4,8
1518,157,95,8
1519,38,3,8
1520,59,17,8
1521,35,110,8
1522,103,7,8
1523,216,115,8
1524,114,46,8
1525,21,61,8
1526,51,48,8
1527,45,21,8
1528,107,40,8
1529,171,29,8
1530,71,5,8
1531,228,7,8
1532,33,7,8
1533,11,32,8
1534,198,9,8
1535,0,74,8
1536,193,2,8
1537,53,5,8
1538,60,115,8
1539,202,71,8
1540,190,8,8
1541,29,7,8
1542,187,6,8
1543,174,165,8
1544,42,9,8
1545,5,8,8
1546,239,14,8
1547,9,13,8
1548,186,10,8
1549,168,7,8
1550,14,72,8
1551,170,7,8
1552,146,16,8
1553,24,9,8
1554,141,26,8
1555,237,12,8
1556,152,8,8
1557,70,8,8
1558,94,8,8
1559,124,47,8
1560,43,5,8
1561,2,7,8
1562,210,9,8
1563,6,28,8
1564,248,13,8
1565,129,2,8
1566,95,26,8
1567,154,6,8
1568,78,17,8
1569,137,7,8
1570,218,8,8
1571,220,11,8
1572,84,7,8
1573,55,11,8
1574,172,12,8
1575,92,5,8
1576,4,7,8
1577,68,19,8
1578,26,8,8
1579,136,3,8
1580,243,6,8
1581,47,23,8
1582,219,37,8
1583,62,24,8
1584,247,8,8
1585,125,1,8
1586,16,26,8
1587,127,5,8
1588,19,13,8
1589,27,6,8
1590,28,9,8
1591,153,3,8
1592,196,11,8
1593,97,5,8
1594,145,3,8
1595,12,3,8
1596,99,7,8
1597,131,6,8
1598,85,9,8
1599,108,18,8
1600,22,5,8
1601,37,7,8
1602,191,5,8
1603,1,2,8
1604,224,5,8
1605,39,5,8
1606,235,7,8
1607,151,3,8
1608,182,4,8
1609,241,4,8
1610,150,3,8
1611,25,2,8
1612,36,5,8
1613,159,3,8
1614,126,9,8
1615,74,6,8
1616,133,2,8
1617,54,3,8
1618,132,11,8
1619,164,75,10
1620,73,20,10
1621,237,7,10
1622,80,106,10
1623,124,29,10
1624,86,4,10
1625,174,39,10
1626,216,69,10
1627,87,125,10
1628,60,61,10
1629,215,99,10
1630,178,37,10
1631,79,85,10
1632,181,122,10
1633,227,1,10
1634,113,113,10
1635,238,186,10
1636,20,59,10
1637,234,34,10
1638,176,6,10
1639,115,156,10
1640,46,57,10
1641,90,13,10
1642,41,144,10
1643,209,12,10
1644,15,4,10
1645,180,16,10
1646,118,60,10
1647,31,1,10
1648,14,96,10
1649,105,7,10
1650,232,56,10
1651,202,37,10
1652,104,17,10
