"id","noc","year","value"
735,"ATG",1963,
736,"ATG",1964,
737,"ATG",1965,
738,"ATG",1966,
739,"ATG",1967,
740,"ATG",1968,
741,"ATG",1969,
742,"ATG",1970,
743,"ATG",1971,
744,"ATG",1972,
745,"ATG",1973,
746,"ATG",1974,
747,"ATG",1975,
748,"ATG",1976,
749,"ATG",1977,"77496753.7037037"
750,"ATG",1978,"87879341.4814815"
751,"ATG",1979,"109079978.888889"
752,"ATG",1980,"131431026.666667"
753,"ATG",1981,"147841734.444444"
754,"ATG",1982,"164369278.888889"
755,"ATG",1983,"182144092.962963"
756,"ATG",1984,"208372846.296296"
757,"ATG",1985,"240923924.814815"
758,"ATG",1986,"290440140.740741"
759,"ATG",1987,"337174861.851852"
760,"ATG",1988,"398637727.777778"
761,"ATG",1989,"438794788.518519"
762,"ATG",1990,"459470370.37037"
763,"ATG",1991,"481707407.407407"
764,"ATG",1992,"499281481.481481"
765,"ATG",1993,"535174074.074074"
766,"ATG",1994,"589429629.62963"
767,"ATG",1995,"577281481.481481"
768,"ATG",1996,"633729629.62963"
769,"ATG",1997,"680618518.518518"
770,"ATG",1998,"727859259.259259"
771,"ATG",1999,"766200000"
772,"ATG",2000,"826370370.37037"
773,"ATG",2001,"800481481.481481"
774,"ATG",2002,"814381481.481481"
775,"ATG",2003,"856396296.296296"
776,"ATG",2004,"919729629.62963"
777,"ATG",2005,"1022962962.96296"
778,"ATG",2006,"1157662962.96296"
779,"ATG",2007,"1312759259.25926"
780,"ATG",2008,"1370070370.37037"
781,"ATG",2009,"1228329629.62963"
782,"ATG",2010,"1148700000"
783,"ATG",2011,"1137637037.03704"
784,"ATG",2012,"1199948148.14815"
785,"ATG",2013,"1181448148.14815"
786,"ATG",2014,"1249733333.33333"
787,"ATG",2015,"1336692592.59259"
788,"ATG",2016,"1436585185.18519"
789,"ATG",2017,"1467977777.77778"
790,"ATG",2018,"1605351851.85185"
791,"ATG",2019,"1661962962.96296"
792,"ATG",2020,"1415059259.25926"
793,"AUS",1960,"18577668271.9229"
794,"AUS",1961,"19652816664.8001"
795,"AUS",1962,"19892485160.7123"
796,"AUS",1963,"21507447642.5132"
797,"AUS",1964,"23764139321.3126"
798,"AUS",1965,"25936835031.9185"
799,"AUS",1966,"27268451114.3465"
800,"AUS",1967,"30397580916.116"
801,"AUS",1968,"32665472057.3412"
802,"AUS",1969,"36628961809.8331"
803,"AUS",1970,"41271138985.3287"
804,"AUS",1971,"45149512823.3845"
805,"AUS",1972,"51967289719.6262"
806,"AUS",1973,"63737347853.9398"
807,"AUS",1974,"88831245394.252"
808,"AUS",1975,"97171924074.8327"
809,"AUS",1976,"104921215177.108"
810,"AUS",1977,"110201881165.405"
811,"AUS",1978,"118338596886.984"
812,"AUS",1979,"134712029989.776"
813,"AUS",1980,"149776044568.245"
814,"AUS",1981,"176642284918.147"
815,"AUS",1982,"193770274743.462"
816,"AUS",1983,"177030416471.689"
817,"AUS",1984,"193242166274.226"
